...1,employing_organization,unique_officers,officers_hired_after_termination,fired_twice_or_more_count,comparison_result,is_tribal_lea,jurisdiction_1,jurisdiction_2,jurisdiction_3
1,Island County Juvenile Detention Center,1,1,0,100,N,Island County,NA,NA
2,Lewis County Corrections,1,1,1,100,N,Lewis County,NA,NA
3,Mason County District Court & Probation Services,1,1,1,100,N,Mason County,NA,NA
4,Hamilton Police Department,2,1,0,50,N,Skagit County,NA,NA
5,Clallam County Juvenile And Family Services,3,1,0,33.33333333,N,Clallam County,NA,NA
6,Colville Tribal Corrections,3,1,0,33.33333333,Y,Tribal,NA,NA
7,Sumas Police Department,9,2,0,22.22222222,N,Whatcom County,NA,NA
8,La Center Police Department,15,3,0,20,N,Clark County,NA,NA
9,Tonasket Police Department,10,2,1,20,N,Okanogan County,NA,NA
10,Seattle Pacific University Office Of Safety And Security,5,1,0,20,N,King County,NA,NA
11,Woodway Police Department,5,1,0,20,N,Snohomish County,NA,NA
12,Mabton Police Department,26,5,1,19.23076923,N,Yakima County,NA,NA
13,Nooksack Indian Tribe Police Department,26,5,1,19.23076923,Y,Tribal,NA,NA
14,King County Court Protection Unit,22,4,0,18.18181818,N,King County,NA,NA
15,Toledo Police Department,11,2,1,18.18181818,N,Lewis County,NA,NA
16,Brier Police Department,39,7,4,17.94871795,N,Snohomish County,NA,NA
17,Pacific Police Department,29,5,4,17.24137931,N,King County,Pierce County,NA
18,Kalama Police Department,18,3,0,16.66666667,N,Cowlitz County,NA,NA
19,Enumclaw Police Department,39,6,1,15.38461538,N,King County,NA,NA
20,Westport Police Department,14,2,0,14.28571429,N,Grays Harbor County,NA,NA
21,Sauk-Suiattle Police Department,22,3,1,13.63636364,Y,Tribal,NA,NA
22,Mattawa Police Department,15,2,2,13.33333333,N,Grant County,NA,NA
23,Napavine Police Department,15,2,1,13.33333333,N,Lewis County,NA,NA
24,Buckley Police Department,23,3,0,13.04347826,N,Pierce County,NA,NA
25,Clyde Hill Police Department,23,3,0,13.04347826,N,King County,NA,NA
26,Evergreen State College Police Department,31,4,1,12.90322581,N,Thurston County,NA,NA
27,Palouse Police Department,8,1,0,12.5,N,Whitman County,NA,NA
28,Milton Police Department,33,4,0,12.12121212,N,King County,Pierce County,NA
29,Ferry County Sheriff's Office,17,2,0,11.76470588,N,Ferry County,NA,NA
30,Grand Coulee Police Department,17,2,0,11.76470588,N,Grant County,NA,NA
31,Spokane Tribal Police Department,17,2,0,11.76470588,Y,Tribal,NA,NA
